ID,LONG_AXIS,PIXEL_SCALE,ROUNDNESS,SHORT_AXIS,SURFACE,VOLUME
0,6.2615724,9.0420000,0.60889804,3.8126592,75.000000,285.94944
1,7.4745609,9.0420000,0.50137357,3.7475473,88.000000,329.78416
2,5.0020274,9.0420000,0.76332459,3.8181705,60.000000,229.09023
3,7.2173345,9.0420000,0.72107173,5.2042159,118.00000,614.09747
4,11.162554,9.0420000,0.48537411,5.4180146,190.00000,1029.4228
5,13.954936,9.0420000,0.28277467,3.9461025,173.00000,682.67574
6,4.1654665,9.0420000,0.82553473,3.4387373,45.000000,154.74318
7,4.3056508,9.0420000,0.82416423,3.5485634,48.000000,170.33104
8,5.5386819,9.0420000,0.65369902,3.6206309,63.000000,228.09975
9,6.8933431,9.0420000,0.50910098,3.5094077,76.000000,266.71499
10,6.6288309,9.0420000,0.49983348,3.3133116,69.000000,228.61850
11,5.6844846,9.0420000,0.66984891,3.8077458,68.000000,258.92671
12,9.1364636,9.0420000,0.46140175,4.2155803,121.00000,510.08522
13,5.0696400,9.0420000,0.49539985,2.5114989,40.000000,100.45996
14,7.2974023,9.0420000,0.52003527,3.7949066,87.000000,330.15687
15,6.7579971,9.0420000,0.50181845,3.3912876,72.000000,244.17271
16,3.9615499,9.0420000,0.70988486,2.8122443,35.000000,98.428550
17,6.5940755,9.0420000,0.50511631,3.3307751,69.000000,229.82348
18,3.9494671,9.0420000,0.79586192,3.1432305,39.000000,122.58599
19,12.913324,9.0420000,0.36840996,4.7573971,193.00000,918.17764
20,7.1871084,9.0420000,0.57309245,4.1188776,93.000000,383.05561
21,7.9037578,9.0420000,0.46368631,3.6648643,91.000000,333.50265
22,8.5496707,9.0420000,0.56174739,4.8027552,129.00000,619.55542
23,5.5282139,9.0420000,0.69783901,3.8578034,67.000000,258.47283
24,12.400929,9.0420000,0.52988505,6.5710667,256.00000,1682.1931
25,7.7516475,9.0420000,0.54563136,4.2295420,103.00000,435.64282
26,3.6608240,9.0420000,0.83130513,3.0432618,35.000000,106.51416
27,10.646063,9.0420000,0.43531517,4.6343925,155.00000,718.33084
28,4.3121539,9.0420000,0.71897024,3.1003103,42.000000,130.21303
29,6.1036891,9.0420000,0.64935010,3.9634311,76.000000,301.22076
30,13.149047,9.0420000,0.48603270,6.3908669,264.00000,1687.1889
31,5.8813273,9.0420000,0.57054660,3.3555713,62.000000,208.04542
32,7.7808479,9.0420000,0.79917127,6.2182301,152.00000,945.17097
33,5.3819656,9.0420000,0.75825867,4.0809221,69.000000,281.58362
34,7.8009871,9.0420000,0.52305939,4.0803796,100.00000,408.03796
