ID,LONG_AXIS,PIXEL_SCALE,ROUNDNESS,SHORT_AXIS,SURFACE,VOLUME
0,6.3040890,9.0420000,0.52061756,3.2820194,65.000000,213.33126
1,6.5049257,9.0420000,0.63189472,4.1104282,84.000000,345.27597
2,9.1439561,9.0420000,0.37308513,3.4114741,98.000000,334.32446
3,4.9393082,9.0420000,0.90025796,4.4466515,69.000000,306.81895
4,5.5639166,9.0420000,0.64778286,3.6042098,63.000000,227.06522
5,6.6041628,9.0420000,0.81009801,5.3500191,111.00000,593.85212
6,7.5809921,9.0420000,0.50401033,3.8208983,91.000000,347.70174
7,5.2307799,9.0420000,0.80272414,4.1988733,69.000000,289.72226
8,4.9438067,9.0420000,0.91164385,4.5069910,70.000000,315.48937
9,5.9158689,9.0420000,0.87314080,5.1653865,96.000000,495.87710
10,6.6495717,9.0420000,0.76307751,5.0741386,106.00000,537.85869
11,6.2966629,9.0420000,0.58607352,3.6903074,73.000000,269.39244
12,3.0923172,9.0420000,0.96533944,2.9851358,29.000000,86.568937
13,8.6245964,9.0420000,0.48356071,4.1705160,113.00000,471.26830
14,10.704738,9.0420000,0.33055598,3.5385151,119.00000,421.08330
15,6.0062143,9.0420000,0.58236119,3.4977861,66.000000,230.85388
16,5.4839695,9.0420000,0.69856047,3.8308843,66.000000,252.83836
17,7.2023607,9.0420000,0.61362125,4.4195216,100.00000,441.95216
18,6.0702407,9.0420000,0.64788745,3.9328328,75.000000,294.96246
19,5.0938897,9.0420000,0.62563528,3.1869171,51.000000,162.53277
20,5.1323876,9.0420000,0.64045276,3.2870518,53.000000,174.21375
21,6.7312959,9.0420000,0.40745603,2.7427071,58.000000,159.07701
22,6.2574107,9.0420000,0.53654326,3.3573715,66.000000,221.58652
23,6.3781532,9.0420000,0.46164936,2.9444704,59.000000,173.72375
24,9.1014976,9.0420000,0.45342599,4.1268556,118.00000,486.96896
25,6.9858888,9.0420000,0.38482103,2.6883169,59.000000,158.61070
26,8.2305025,9.0420000,0.54037502,4.4475579,115.00000,511.46916
27,9.0897181,9.0420000,0.42378149,3.8520543,110.00000,423.72597
28,10.910500,9.0420000,0.42516546,4.6387676,159.00000,737.56405
29,12.720089,9.0420000,0.34230959,4.3542085,174.00000,757.63228
30,6.9297457,9.0420000,0.63633639,4.4096494,96.000000,423.32634
31,4.8277094,9.0420000,0.79212895,3.8241684,58.000000,221.80177
32,3.7015200,9.0420000,0.92928714,3.4397749,40.000000,137.59100
33,4.8953014,9.0420000,0.63757678,3.1211305,48.000000,149.81426
34,6.6359277,9.0420000,0.67947689,4.5089595,94.000000,423.84219
35,6.1219305,9.0420000,0.71343207,4.3675815,84.000000,366.87685
36,8.4392861,9.0420000,0.51396855,4.3375277,115.00000,498.81568
37,7.2807285,9.0420000,0.43835233,3.1915243,73.000000,232.98127
38,3.4066928,9.0420000,0.82282115,2.8030989,30.000000,84.092966
39,5.7931561,9.0420000,0.79670758,4.6154514,84.000000,387.69792
40,4.8060020,9.0420000,0.70283344,3.3778189,51.000000,172.26876
41,3.2966671,9.0420000,0.84937197,2.8000967,29.000000,81.202803
42,5.5542497,9.0420000,0.45399597,2.5216070,44.000000,110.95071
43,3.9234192,9.0420000,0.84782175,3.3263602,41.000000,136.38077
44,6.1791413,9.0420000,0.63358877,3.9150345,76.000000,297.54262
45,5.4404355,9.0420000,0.61299603,3.3349653,57.000000,190.09302
46,8.0143016,9.0420000,0.60957040,4.8852811,123.00000,600.88957
47,5.8607132,9.0420000,0.64870498,3.8018738,70.000000,266.13117
48,5.0684768,9.0420000,0.73105022,3.7053111,59.000000,218.61335
49,9.1817018,9.0420000,0.66830856,6.1362099,177.00000,1086.1092
50,7.4855917,9.0420000,0.73848421,5.5279912,130.00000,718.63886
51,5.4161931,9.0420000,0.70530214,3.8200526,65.000000,248.30342
52,5.1640385,9.0420000,0.72811674,3.7600229,61.000000,229.36140
53,4.9654920,9.0420000,0.77459876,3.8462640,60.000000,230.77584
54,6.7126805,9.0420000,0.69228393,4.6470808,98.000000,455.41392
55,8.5439025,9.0420000,0.44477230,3.8000912,102.00000,387.60930
56,5.0702902,9.0420000,0.73052740,3.7039859,59.000000,218.53517
57,9.6404995,9.0420000,0.53086336,5.1177880,155.00000,793.25714
58,4.2341936,9.0420000,0.79895299,3.3829216,45.000000,152.23147
59,10.195426,9.0420000,0.51445649,5.2451031,168.00000,881.17732
60,12.095767,9.0420000,0.36550439,4.4210559,168.00000,742.73739
61,4.3020667,9.0420000,0.51596127,2.2196998,30.000000,66.590994
62,7.7762692,9.0420000,0.55797330,4.3389506,106.00000,459.92876
63,6.9012705,9.0420000,0.44778221,3.0902661,67.000000,207.04783
64,6.4011345,9.0420000,0.61371015,3.9284413,79.000000,310.34686
65,5.0869204,9.0420000,0.72575870,3.6918767,59.000000,217.82073
66,5.2347663,9.0420000,0.69695829,3.6484137,60.000000,218.90482
67,9.1094484,9.0420000,0.33755818,3.0749688,88.000000,270.59726
68,7.0663262,9.0420000,0.42073312,2.9730375,66.000000,196.22047
69,4.5634417,9.0420000,0.61139954,2.7900862,40.000000,111.60345
70,4.0260106,9.0420000,0.84443991,3.3997240,43.000000,146.18813
71,6.1100975,9.0420000,0.75882889,4.6365185,89.000000,412.65014
72,6.6026084,9.0420000,0.59873259,3.9531968,82.000000,324.16214
73,4.5858433,9.0420000,0.66598490,3.0541024,44.000000,134.38051
74,6.4413356,9.0420000,0.48332452,3.1132554,63.000000,196.13509
75,6.9182314,9.0420000,0.84462451,5.8433078,127.00000,742.10009
76,8.6112385,9.0420000,0.57091379,4.9162748,133.00000,653.86455
77,5.9560465,9.0420000,0.75372558,4.4892246,84.000000,377.09487
78,5.4559636,9.0420000,0.62020490,3.3838154,58.000000,196.26129
79,5.7143078,9.0420000,0.61413440,3.5093530,63.000000,221.08924
80,5.3199651,9.0420000,0.69730735,3.7096508,62.000000,229.99835
81,6.7264424,9.0420000,0.75980654,5.1107949,108.00000,551.96585
82,8.4130855,9.0420000,0.48569461,4.0861902,108.00000,441.30855
83,5.6460404,9.0420000,0.46931022,2.6497445,47.000000,124.53799
84,6.8002626,9.0420000,0.45429995,3.0893590,66.000000,203.89769
85,7.5753423,9.0420000,0.63233971,4.7901897,114.00000,546.08163
86,4.4271033,9.0420000,0.74708264,3.3074120,46.000000,152.14095
87,5.0137754,9.0420000,0.65845139,3.3013274,52.000000,171.66902
88,4.5289168,9.0420000,0.66731349,3.0222073,43.000000,129.95491
89,13.372423,9.0420000,0.34532790,4.6178706,194.00000,895.86691
90,4.3193383,9.0420000,0.63127327,2.7266829,37.000000,100.88727
91,4.6822439,9.0420000,0.88566993,4.1469226,61.000000,252.96228
92,7.8597731,9.0420000,0.56679080,4.4548471,110.00000,490.03318
93,10.330077,9.0420000,0.59658588,6.1627783,200.00000,1232.5557
94,7.4546087,9.0420000,0.59570845,4.4407734,104.00000,461.84044
95,5.7277360,9.0420000,0.73739083,4.2235800,76.000000,320.99208
96,4.7315700,9.0420000,0.79620996,3.7673232,56.000000,210.97010
97,5.1958771,9.0420000,0.73101129,3.7982448,62.000000,235.49118
98,7.2161956,9.0420000,0.66628500,4.8080429,109.00000,524.07667
99,7.1903407,9.0420000,0.61567453,4.4269096,100.00000,442.69096
100,5.8405584,9.0420000,0.85847810,5.0139914,92.000000,461.28721
101,5.3799463,9.0420000,0.82481302,4.4374498,75.000000,332.80873
102,5.9015411,9.0420000,0.63062088,3.7216350,69.000000,256.79282
103,4.5159252,9.0420000,0.70237519,3.1718738,45.000000,142.73432
104,5.4415827,9.0420000,0.66648649,3.6267414,62.000000,224.85796
105,3.6414838,9.0420000,0.69613162,2.5349520,29.000000,73.513608
106,6.2537387,9.0420000,0.69995337,4.3773255,86.000000,376.45000
107,2.9539214,9.0420000,0.98495417,2.9094772,27.000000,78.555884
108,8.9134130,9.0420000,0.53686720,4.7853190,134.00000,641.23275
109,9.9440807,9.0420000,0.52791584,5.2496377,164.00000,860.94059
110,5.5732075,9.0420000,0.59438480,3.3126298,58.000000,192.13253
111,5.0045191,9.0420000,0.67359877,3.3710380,53.000000,178.66501
112,6.5540065,9.0420000,0.49649079,3.2540039,67.000000,218.01826
113,5.6741196,9.0420000,0.58331771,3.3098145,59.000000,195.27905
114,5.8515002,9.0420000,0.75300991,4.4062377,81.000000,356.90525
115,6.3739453,9.0420000,0.54060810,3.4458065,69.000000,237.76065
116,4.5903356,9.0420000,0.72510767,3.3284875,48.000000,159.76740
117,5.3548151,9.0420000,0.53284685,2.8532964,48.000000,136.95823
118,7.1367836,9.0420000,0.58745272,4.1925230,94.000000,394.09716
119,8.2345979,9.0420000,0.65249943,5.3730704,139.00000,746.85679
120,6.4381273,9.0420000,0.48380634,3.1148068,63.000000,196.23283
121,7.5968836,9.0420000,0.68942845,5.2375076,125.00000,654.68846
122,6.8606819,9.0420000,0.58158609,3.9900772,86.000000,343.14664
123,4.6111862,9.0420000,0.62874434,2.8992573,42.000000,121.76881
124,7.6795012,9.0420000,0.65848205,5.0568136,122.00000,616.93126
125,4.0576906,9.0420000,0.81197297,3.2947350,42.000000,138.37887
126,5.9768514,9.0420000,0.78412965,4.6866264,88.000000,412.42313
127,2.6998623,9.0420000,0.96070399,2.5937684,22.000000,57.062906
128,4.8772658,9.0420000,0.69582595,3.3937281,52.000000,176.47386
129,6.9792679,9.0420000,0.43782967,3.0557306,67.000000,204.73395
130,5.7938743,9.0420000,0.66375840,3.8457327,70.000000,269.20129
131,6.6021958,9.0420000,0.55499226,3.6641675,76.000000,278.47673
132,4.3705882,9.0420000,0.58322805,2.5490496,35.000000,89.216736
133,6.4640665,9.0420000,0.63990836,4.1364102,84.000000,347.45846
134,4.2077403,9.0420000,0.57531044,2.4207569,32.000000,77.464221
135,3.2939609,9.0420000,0.85076820,2.8023972,29.000000,81.269518
136,6.3900435,9.0420000,0.62363787,3.9850732,80.000000,318.80585
137,2.5609846,9.0420000,0.87359212,2.2372559,18.000000,40.270607
138,4.4071324,9.0420000,0.77025725,3.3946257,47.000000,159.54741
139,8.2901197,9.0420000,0.51873619,4.3003851,112.00000,481.64313
140,6.7324244,9.0420000,0.58991093,3.9715307,84.000000,333.60858
141,4.8543348,9.0420000,0.59435149,2.8851811,44.000000,126.94797
142,8.5993261,9.0420000,0.44766653,3.8496305,104.00000,400.36157
143,4.7412037,9.0420000,0.63721416,3.0211621,45.000000,135.95229
144,13.103558,9.0420000,0.22987584,3.0121914,124.00000,373.51174
145,5.4243641,9.0420000,0.76808771,4.1663874,71.000000,295.81350
146,5.6498363,9.0420000,0.70800568,4.0001162,71.000000,284.00825
147,4.5712435,9.0420000,0.73117721,3.3423891,48.000000,160.43468
148,4.7853374,9.0420000,0.82011925,3.9245474,59.000000,231.54829
149,5.3457827,9.0420000,0.71286534,3.8108232,64.000000,243.89268
150,8.0079381,9.0420000,0.55593848,4.4519209,112.00000,498.61514
151,5.9520006,9.0420000,0.64692910,3.8505224,72.000000,277.23761
152,2.9406750,9.0420000,0.88342017,2.5978516,24.000000,62.348439
153,7.7429943,9.0420000,0.54154235,4.1931593,102.00000,427.70225
154,6.5867848,9.0420000,0.55759230,3.6727405,76.000000,279.12828
155,5.0318492,9.0420000,0.56572766,2.8466562,45.000000,128.09953
156,6.8464732,9.0420000,0.71302639,4.8817161,105.00000,512.58019
