ID,LONG_AXIS,PIXEL_SCALE,ROUNDNESS,SHORT_AXIS,SURFACE,VOLUME
0,11.909115,9.0420000,0.32318683,3.8488691,144.00000,554.23715
1,7.1559892,9.0420000,0.55322371,3.9588629,89.000000,352.33880
2,5.5857299,9.0420000,0.70394603,3.9320523,69.000000,271.31161
3,7.7968852,9.0420000,0.44506841,3.4701473,85.000000,294.96252
4,9.5601555,9.0420000,0.43882439,4.1952294,126.00000,528.59891
5,7.0274162,9.0420000,0.66388980,4.6654300,103.00000,480.53929
6,6.6206829,9.0420000,0.69713323,4.6154981,96.000000,443.08781
7,6.8087666,9.0420000,0.53555963,3.6465005,78.000000,284.42704
8,4.3397010,9.0420000,0.65916649,2.8605855,39.000000,111.56283
9,5.0328883,9.0420000,0.72885904,3.6682661,58.000000,212.75943
10,2.7789386,9.0420000,0.82437005,2.2908738,20.000000,45.817476
11,5.8130250,9.0420000,0.60287284,3.5045149,64.000000,224.28895
12,4.9245875,9.0420000,0.64314144,3.1672063,49.000000,155.19311
13,6.0056529,9.0420000,0.67072309,4.0281301,76.000000,306.13789
14,11.148381,9.0420000,0.50197562,5.5962152,196.00000,1096.8582
15,5.1639244,9.0420000,0.65652770,3.3902595,55.000000,186.46427
16,4.2921464,9.0420000,0.76024531,3.2630842,44.000000,143.57570
17,6.4133663,9.0420000,0.48754935,3.1268326,63.000000,196.99045
18,5.2487754,9.0420000,0.67013475,3.5173868,58.000000,204.00844
19,5.4879670,9.0420000,0.62356129,3.4220838,59.000000,201.90295
20,5.1780391,9.0420000,0.89039096,4.6104792,75.000000,345.78594
21,3.8674075,9.0420000,0.70230245,2.7160898,33.000000,89.630964
22,6.1431140,9.0420000,0.61573783,3.7825477,73.000000,276.12598
23,6.4750172,9.0420000,0.82755100,5.3584070,109.00000,584.06636
24,4.6233574,9.0420000,0.71478663,3.3047141,48.000000,158.62628
25,4.2434990,9.0420000,0.54797861,2.3253467,31.000000,72.085748
26,5.3524106,9.0420000,0.57776953,3.0924597,52.000000,160.80791
27,5.8059953,9.0420000,0.67043259,3.8925285,71.000000,276.36952
28,6.4927272,9.0420000,0.58141541,3.7749717,77.000000,290.67282
29,5.1322164,9.0420000,0.78551334,4.0314245,65.000000,262.04259
30,4.7728018,9.0420000,0.74059231,3.5347003,53.000000,187.33912
31,6.2176681,9.0420000,0.79043523,4.9146639,96.000000,471.80774
32,6.3726854,9.0420000,0.65055387,4.1457751,83.000000,344.09933
33,8.1605198,9.0420000,0.62138081,5.0707904,130.00000,659.20275
34,7.6546428,9.0420000,0.39114048,2.9940406,72.000000,215.57093
35,4.3660623,9.0420000,0.73472184,3.2078413,44.000000,141.14502
36,5.5512125,9.0420000,0.70239811,3.8991612,68.000000,265.14296
37,5.3750192,9.0420000,0.50681320,2.7241307,46.000000,125.31001
38,5.3774623,9.0420000,0.52836813,2.8412797,48.000000,136.38143
39,4.6446272,9.0420000,0.81154217,3.7693108,55.000000,207.31210
40,9.2716260,9.0420000,0.70724793,6.5573383,191.00000,1252.4516
41,2.9575181,9.0420000,0.65503996,1.9372926,18.000000,34.871266
42,6.3599890,9.0420000,0.56659129,3.6035144,72.000000,259.45304
43,8.7708262,9.0420000,0.48825998,4.2824434,118.00000,505.32832
44,2.7147034,9.0420000,0.90703626,2.4623344,21.000000,51.709023
45,5.8938980,9.0420000,0.56811544,3.3484144,62.000000,207.60169
46,5.2785902,9.0420000,0.58261870,3.0754053,51.000000,156.84567
47,8.5588058,9.0420000,0.49971412,4.2769561,115.00000,491.84995
48,4.3115354,9.0420000,0.83903927,3.6175475,49.000000,177.25983
49,4.9849061,9.0420000,0.65329050,3.2565918,51.000000,166.08618
50,7.4224838,9.0420000,0.40443586,3.0019186,70.000000,210.13430
51,9.5206169,9.0420000,0.66020346,6.2855442,188.00000,1181.6823
52,4.4055400,9.0420000,0.77081418,3.3958527,47.000000,159.60508
53,5.9446569,9.0420000,0.74760918,4.4442801,83.000000,368.87525
54,3.4340791,9.0420000,0.70178306,2.4099786,26.000000,62.659442
55,8.0021970,9.0420000,0.63627026,5.0915599,128.00000,651.71967
56,4.1669547,9.0420000,0.49496710,2.0625055,27.000000,55.687648
57,5.7023312,9.0420000,0.54819273,3.1259765,56.000000,175.05469
58,9.1694954,9.0420000,0.44672603,4.0962523,118.00000,483.35777
59,4.6106546,9.0420000,0.77862490,3.5899705,52.000000,186.67847
60,5.4163087,9.0420000,0.54251695,2.9384393,50.000000,146.92196
61,5.7561441,9.0420000,0.59563266,3.4285474,62.000000,212.56994
62,5.4681651,9.0420000,0.59614914,3.2598419,56.000000,182.55115
63,5.4196661,9.0420000,0.56351879,3.0540837,52.000000,158.81235
64,4.3169197,9.0420000,0.52949745,2.2857980,31.000000,70.859738
65,6.1163908,9.0420000,0.60411279,3.6949899,71.000000,262.34428
66,4.8780350,9.0420000,0.44144261,2.1533725,33.000000,71.061292
67,8.2958518,9.0420000,0.42089091,3.4916486,91.000000,317.74003
68,7.0264519,9.0420000,0.53512602,3.7600372,83.000000,312.08309
69,4.6369543,9.0420000,0.75501341,3.5009627,51.000000,178.54910
70,5.5427761,9.0420000,0.67345536,3.7328123,65.000000,242.63280
71,6.6306984,9.0420000,0.68054905,4.5125155,94.000000,424.17646
72,7.1467990,9.0420000,0.74783922,5.3446566,120.00000,641.35879
73,3.0145964,9.0420000,0.94570468,2.8509179,27.000000,76.974784
74,5.7674797,9.0420000,0.71769387,4.1392849,75.000000,310.44636
75,3.3957490,9.0420000,0.82813326,2.8121327,30.000000,84.363980
76,3.0083795,9.0420000,0.84410433,2.5393862,24.000000,60.945268
77,13.790926,9.0420000,0.33974987,4.6854654,203.00000,951.14947
78,5.0691082,9.0420000,0.80519369,4.0816139,65.000000,265.30490
79,4.0354826,9.0420000,0.60592778,2.4452110,31.000000,75.801542
80,3.8777189,9.0420000,0.80441671,3.1193019,38.000000,118.53347
81,9.9877707,9.0420000,0.53607097,5.3541539,168.00000,899.49785
82,2.6953664,9.0420000,0.87628324,2.3619044,20.000000,47.238088
83,5.1007699,9.0420000,0.86863437,4.4307041,71.000000,314.57999
84,5.4639488,9.0420000,0.68236519,3.7284084,64.000000,238.61814
85,3.1977751,9.0420000,0.87159020,2.7871494,28.000000,78.040183
86,8.0030386,9.0420000,0.31309840,2.5057386,63.000000,157.86153
87,5.0302396,9.0420000,0.66672793,3.3538012,53.000000,177.75147
88,6.3407010,9.0420000,0.55420905,3.5140739,70.000000,245.98517
89,6.0927989,9.0420000,0.60880021,3.7092972,71.000000,263.36010
90,7.9327845,9.0420000,0.53111444,4.2132164,105.00000,442.38772
91,4.9141463,9.0420000,0.71178318,3.4978067,54.000000,188.88156
92,4.4977349,9.0420000,0.83394669,3.7508711,53.000000,198.79617
93,6.3069466,9.0420000,0.49613916,3.1291232,62.000000,194.00564
94,3.7690895,9.0420000,0.69460664,2.6180346,31.000000,81.159071
95,3.5053971,9.0420000,0.93256302,3.2690037,36.000000,117.68413
96,10.072821,9.0420000,0.36391995,3.6657006,116.00000,425.22127
97,5.4171742,9.0420000,0.88944352,4.8182705,82.000000,395.09818
98,6.2110876,9.0420000,0.56932978,3.5361572,69.000000,243.99485
99,3.9159538,9.0420000,0.72651245,2.8449892,35.000000,99.574621
100,5.1250000,9.0420000,0.48475509,2.4843698,40.000000,99.374794
101,6.1444732,9.0420000,0.61546546,3.7817110,73.000000,276.06490
102,4.9820860,9.0420000,0.61555793,3.0667625,48.000000,147.20460
103,6.1562357,9.0420000,0.63831234,3.9296012,76.000000,298.64969
104,8.4277482,9.0420000,0.41678298,3.5125420,93.000000,326.66641
105,5.7893529,9.0420000,0.69328681,4.0136820,73.000000,292.99879
106,4.2844507,9.0420000,0.84968099,3.6404163,49.000000,178.38040
107,5.8462310,9.0420000,0.63329651,3.7023977,68.000000,251.76304
108,7.0476291,9.0420000,0.53832349,3.7939043,84.000000,318.68796
109,2.7784888,9.0420000,1.0307963,2.8640559,25.000000,71.601397
110,3.2407717,9.0420000,0.93953927,3.0448323,31.000000,94.389801
111,6.8109198,9.0420000,0.50091202,3.4116716,73.000000,249.05203
112,5.1212251,9.0420000,0.71606824,3.6671466,59.000000,216.36165
113,5.6764621,9.0420000,0.44453622,2.5233930,45.000000,113.55269
114,3.9901022,9.0420000,0.61978888,2.4730210,31.000000,76.663650
115,4.7190707,9.0420000,0.62891194,2.9678799,44.000000,130.58672
116,6.9101329,9.0420000,0.72661410,5.0210000,109.00000,547.28900
117,5.1883704,9.0420000,0.54393376,2.8221298,46.000000,129.81797
118,3.8626416,9.0420000,1.0667221,4.1203653,50.000000,206.01826
119,4.3870548,9.0420000,0.66155201,2.9022650,40.000000,116.09060
120,5.8964060,9.0420000,0.50354474,2.9691042,55.000000,163.30073
121,7.4313130,9.0420000,0.63979670,4.7545295,111.00000,527.75278
122,6.0475380,9.0420000,0.63535402,3.8423275,73.000000,280.48991
123,5.0162254,9.0420000,0.59455756,2.9824347,47.000000,140.17443
124,4.0810941,9.0420000,0.80268696,3.2758410,42.000000,137.58532
125,3.1518630,9.0420000,0.67287557,2.1208116,21.000000,44.537044
126,3.5392976,9.0420000,0.66067720,2.3383332,26.000000,60.796664
127,6.8779869,9.0420000,0.44409039,3.0544479,66.000000,201.59356
128,5.7415329,9.0420000,0.48279684,2.7719939,50.000000,138.59970
129,4.5689725,9.0420000,0.71665627,3.2743828,47.000000,153.89599
130,5.7547242,9.0420000,0.63437351,3.6506446,66.000000,240.94254
131,3.1568507,9.0420000,0.86239415,2.7224496,27.000000,73.506139
132,6.4544044,9.0420000,0.55013627,3.5508020,72.000000,255.65774
133,7.5740401,9.0420000,0.71578837,5.4214098,129.00000,699.36186
